#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
2.722e-03 8.140e-04 3.101e-01 9.492e-02 5.160e-04 5.374e-04 9.233e-05 1.267e-05 3.890e-06 1.266e-06 
1.302e-03 1.701e-03 2.092e-01 1.806e-01 1.110e-03 4.251e-04 9.884e-06 5.255e-04 1.666e-06 7.035e-06 
2.703e-03 5.955e-04 3.300e-01 7.596e-02 6.444e-04 4.265e-04 1.264e-04 3.538e-06 7.928e-06 5.834e-07 
9.527e-04 1.690e-03 2.017e-01 1.846e-01 6.341e-04 2.929e-04 1.393e-05 7.735e-04 2.861e-06 1.893e-05 
2.715e-03 4.403e-04 3.419e-01 5.832e-02 9.144e-04 4.375e-04 1.232e-04 2.368e-06 7.396e-06 2.453e-07 
7.044e-04 1.697e-03 1.988e-01 1.900e-01 5.319e-04 4.694e-04 1.114e-05 9.727e-04 1.090e-06 2.259e-05 
2.704e-03 3.383e-04 3.585e-01 4.775e-02 8.484e-04 3.735e-04 1.357e-04 2.705e-06 3.784e-06 3.454e-07 
5.413e-04 1.690e-03 1.931e-01 1.894e-01 6.824e-04 5.574e-04 1.291e-05 1.146e-03 1.012e-06 7.187e-06 
2.724e-03 2.490e-04 3.627e-01 3.740e-02 7.221e-04 2.721e-04 1.439e-04 1.452e-06 3.182e-06 3.908e-07 
3.983e-04 1.702e-03 1.953e-01 1.952e-01 5.829e-04 6.915e-04 1.226e-05 1.293e-03 1.805e-06 9.043e-06 
2.705e-03 1.639e-04 3.752e-01 2.399e-02 7.306e-04 2.674e-04 1.598e-04 5.982e-07 5.869e-06 2.211e-07 
2.623e-04 1.690e-03 1.920e-01 1.946e-01 7.605e-04 6.678e-04 9.463e-06 1.402e-03 9.540e-07 1.071e-05 
2.711e-03 9.144e-05 3.832e-01 1.502e-02 1.597e-03 2.366e-04 1.510e-04 1.835e-07 5.594e-06 8.549e-08 
1.463e-04 1.695e-03 1.922e-01 1.945e-01 8.559e-04 7.701e-04 1.516e-05 1.536e-03 1.844e-06 2.784e-05 
2.734e-03 3.345e-05 3.884e-01 5.596e-03 9.372e-04 1.218e-04 1.747e-04 5.482e-08 4.730e-06 5.482e-08 
5.352e-05 1.709e-03 2.746e-02 3.404e-02 7.516e-04 6.164e-04 4.153e-05 1.570e-03 2.191e-06 1.060e-05 
2.693e-03 1.700e-05 3.922e-01 3.382e-03 7.762e-04 9.060e-05 1.710e-04 6.510e-08 3.649e-06 6.510e-08 
2.720e-05 1.683e-03 2.079e-02 2.850e-02 2.472e-04 2.170e-04 1.759e-05 1.555e-03 1.161e-06 1.697e-05 
1.525e-03 2.481e-02 1.131e-01 1.923e-01 3.031e-04 5.601e-04 4.162e-04 2.232e-02 7.512e-06 3.951e-05 
3.970e-02 9.533e-04 3.977e-01 1.109e-02 6.435e-04 9.863e-05 1.509e-04 1.926e-07 3.586e-06 1.008e-07 
1.581e-03 1.832e-02 1.301e-01 2.028e-01 3.515e-04 9.042e-04 1.677e-04 1.573e-02 3.411e-06 3.859e-05 
2.931e-02 9.884e-04 3.848e-01 1.392e-02 1.021e-03 2.834e-04 1.517e-04 2.065e-07 4.479e-06 5.287e-08 
1.573e-03 1.014e-02 1.528e-01 2.072e-01 7.372e-04 5.015e-04 4.712e-05 7.789e-03 2.277e-06 3.065e-05 
1.622e-02 9.831e-04 3.756e-01 2.446e-02 1.931e-03 3.645e-04 1.627e-04 4.770e-07 3.190e-06 1.603e-07 
1.574e-03 6.728e-03 1.660e-01 2.047e-01 8.607e-04 7.139e-04 2.152e-05 4.603e-03 2.187e-06 1.716e-05 
1.076e-02 9.840e-04 3.682e-01 3.535e-02 8.156e-04 3.138e-04 1.352e-04 7.916e-07 4.781e-06 2.551e-07 
1.541e-03 4.810e-03 1.759e-01 2.022e-01 4.720e-04 6.180e-04 1.153e-05 2.855e-03 8.634e-07 1.893e-05 
7.696e-03 9.629e-04 3.563e-01 4.626e-02 8.336e-04 3.664e-04 1.241e-04 2.293e-06 3.454e-06 4.513e-07 
1.564e-03 3.768e-03 1.844e-01 1.983e-01 0.000e+00 0.000e+00 9.165e-06 1.927e-03 0.000e+00 0.000e+00 
6.029e-03 9.776e-04 3.467e-01 5.766e-02 8.266e-04 3.651e-04 1.168e-04 3.736e-06 6.453e-06 9.790e-07 
1.544e-03 2.738e-03 1.939e-01 1.908e-01 9.144e-04 8.910e-04 6.156e-06 1.121e-03 6.974e-07 8.745e-06 
4.381e-03 9.650e-04 3.262e-01 7.516e-02 1.566e-03 6.896e-04 1.060e-04 1.001e-05 3.912e-06 1.006e-06 
1.525e-03 1.992e-03 2.057e-01 1.820e-01 4.799e-04 7.520e-04 1.035e-05 5.608e-04 8.273e-07 8.865e-06 
3.187e-03 9.529e-04 3.098e-01 9.385e-02 8.557e-04 7.654e-04 8.422e-05 1.136e-05 5.066e-06 1.244e-06 
