#C1_0     C2_0      C1_den    C2_den    dC1_den   dC2_den   C1_sol    C2_sol    dC1_sol   dC2_sol   
9.457e-05 1.208e-03 9.997e-05 1.367e-03 1.507e-05 4.557e-05 7.038e-05 1.112e-03 4.028e-06 1.877e-05
4.804e-03 1.213e-05 4.966e-01 2.950e-04 1.044e-03 2.370e-05 1.322e-05 8.531e-06 1.302e-06 8.907e-07
4.853e-05 1.201e-03 7.113e-05 1.185e-03 1.344e-05 4.782e-05 2.858e-05 1.055e-03 1.677e-06 2.066e-05
2.712e-03 5.353e-04 4.728e-01 1.527e-02 8.154e-04 2.089e-04 1.161e-05 4.398e-04 1.258e-06 2.175e-05
2.141e-03 6.780e-04 4.639e-01 2.024e-02 1.233e-03 1.700e-04 1.435e-05 5.547e-04 1.160e-06 8.169e-06
2.809e-03 1.302e-02 2.240e-01 1.429e-01 7.500e-04 5.674e-04 3.748e-04 1.054e-02 5.210e-06 2.695e-05
5.206e-02 7.023e-04 4.888e-01 4.275e-03 1.260e-03 6.499e-05 1.684e-05 1.501e-04 1.373e-06 3.852e-06
2.807e-03 7.237e-03 2.975e-01 1.170e-01 6.968e-04 5.367e-04 1.318e-04 5.596e-03 3.868e-06 2.646e-05
2.895e-02 7.017e-04 4.851e-01 6.960e-03 8.107e-04 1.330e-04 1.436e-05 2.122e-04 1.139e-06 4.633e-06
2.811e-03 4.804e-03 3.401e-01 9.353e-02 4.280e-04 5.018e-04 5.948e-05 3.733e-03 3.104e-06 1.884e-05
1.922e-02 7.027e-04 4.817e-01 9.110e-03 1.522e-03 1.325e-04 1.778e-05 2.607e-04 1.135e-06 4.917e-06
2.712e-03 3.386e-03 3.696e-01 7.514e-02 8.975e-04 3.743e-04 5.074e-05 2.615e-03 3.435e-06 1.818e-05
1.355e-02 6.779e-04 4.770e-01 1.148e-02 6.268e-04 2.024e-04 1.450e-05 2.969e-04 1.060e-06 6.289e-06
2.746e-03 1.948e-03 4.175e-01 4.921e-02 7.416e-04 3.151e-04 2.176e-05 1.573e-03 9.860e-07 3.381e-05
7.791e-03 6.864e-04 4.703e-01 1.386e-02 1.211e-03 2.258e-04 1.219e-05 3.785e-04 1.407e-06 1.759e-05
2.730e-03 1.427e-03 4.348e-01 3.789e-02 1.230e-03 2.545e-04 1.988e-05 1.127e-03 2.130e-06 9.719e-06
5.706e-03 6.825e-04 4.658e-01 1.576e-02 1.184e-03 1.759e-04 1.759e-05 4.618e-04 1.139e-06 5.692e-06
2.743e-03 8.684e-04 4.525e-01 2.451e-02 1.139e-03 1.488e-04 1.846e-05 7.003e-04 1.195e-06 7.031e-06
3.474e-03 6.856e-04 4.655e-01 1.810e-02 1.057e-03 2.967e-04 1.462e-05 5.003e-04 2.070e-06 9.856e-06
2.713e-03 3.862e-04 4.750e-01 1.102e-02 1.019e-03 1.737e-04 1.220e-05 3.096e-04 1.086e-06 5.653e-06
